topicId,P@10,P@50,MAP@100,MAP@20,system
448,0.3,0.12,0.5417024167024167,0.7430555555555556,GE8MTD2
449,0.5,0.2,0.4213513261028416,0.5441166915109124,GE8MTD2
450,1.0,0.84,0.8787125693305463,1.0,GE8MTD2
401,0.0,0.02,0.03646775165762508,0.0,isa25t
402,0.0,0.1,0.12521225137324207,0.12878787878787878,isa25t
403,0.3,0.34,0.3876090077138147,0.32862260288730877,isa25t
404,0.0,0.0,0.0,0.0,isa25t
405,0.0,0.0,0.0,0.0,isa25t
406,0.0,0.0,0.0,0.0,isa25t
407,0.8,0.24,0.7388028436941481,0.7843894993894993,isa25t
408,0.6,0.34,0.42264604983474535,0.5677830940988836,isa25t
409,0.0,0.0,0.0,0.0,isa25t
410,0.0,0.0,0.0,0.0,isa25t
411,0.0,0.0,0.0,0.0,isa25t
412,0.0,0.0,0.019294990723562153,0.0,isa25t
413,0.0,0.0,0.0,0.0,isa25t
414,0.0,0.0,0.0,0.0,isa25t
415,0.1,0.12,0.15514976646254458,0.18318250377073908,isa25t
416,0.0,0.0,0.0,0.0,isa25t
417,0.0,0.02,0.026754075124025514,0.0,isa25t
418,0.0,0.0,0.0,0.0,isa25t
419,0.0,0.0,0.0,0.0,isa25t
420,0.3,0.1,0.4446491228070176,0.6555555555555556,isa25t
421,0.0,0.04,0.05555555555555555,0.06666666666666667,isa25t
422,0.0,0.0,0.0,0.0,isa25t
423,0.2,0.06,0.14055730258560445,0.2361111111111111,isa25t
424,0.0,0.08,0.07212096342274502,0.0,isa25t
425,0.1,0.02,1.0,1.0,isa25t
426,0.1,0.04,0.09098243206311261,0.1125,isa25t
427,0.0,0.0,0.0,0.0,isa25t
428,0.1,0.12,0.17430434614342658,0.5,isa25t
429,0.0,0.02,0.04,0.0,isa25t
430,0.0,0.02,0.07692307692307693,0.07692307692307693,isa25t
431,0.2,0.04,0.1736111111111111,0.1736111111111111,isa25t
432,0.0,0.0,0.0,0.0,isa25t
433,0.0,0.0,0.0,0.0,isa25t
434,0.1,0.02,0.5,0.5,isa25t
435,0.0,0.04,0.06061041448972484,0.05,isa25t
436,0.1,0.1,0.1743062802172414,0.18037883169462116,isa25t
437,0.0,0.04,0.10238095238095238,0.10238095238095238,isa25t
438,0.0,0.08,0.08709351432880845,0.09215686274509804,isa25t
439,0.0,0.02,0.02986906710310966,0.0,isa25t
440,0.1,0.02,0.2,0.2,isa25t
